EMPLOYER_NAME,target,value,source,pay,index,odd
APPLE INC.,Apple,50,SANTA CLARA COUNTY,109470,248,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,148928,250,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,63856,252,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,49941,254,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,172058,256,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,123656,258,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,87090,260,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,93621,262,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,67100,264,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,91411,266,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,99350,268,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,102299,270,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,101695,272,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,274,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,109479,276,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,278,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,107299,280,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,111303,282,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,284,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,286,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,288,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,290,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,111100,292,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110269,294,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,296,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,117381,298,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,300,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,302,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,304,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,306,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,308,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,310,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,117000,312,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,118000,314,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,118829,316,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,119000,318,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,320,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120817,322,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120817,324,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,326,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,328,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,330,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,332,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,334,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,336,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,338,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120000,340,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,122805,342,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,118221,344,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,113499,346,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,113499,348,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,114591,350,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,129016,352,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115319,354,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,120446.5,356,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,123000,358,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,124000,360,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,362,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,364,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,366,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,368,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,370,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,372,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,374,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,376,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127175,378,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,380,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,382,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,384,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125000,386,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,121796.5,388,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,128500,390,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,392,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130705,394,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,396,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,398,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,400,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,402,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,404,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130705,406,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,408,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,410,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,412,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,414,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,416,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130705,418,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,420,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,422,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,424,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,426,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130000,428,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,136634.5,430,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,138134.5,432,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,434,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,436,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,438,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,440,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,442,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,444,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,138228,446,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,138134.5,448,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,450,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,138134.5,452,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,454,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,456,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,458,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135000,460,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,136000,462,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137000,464,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140019,466,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,130713.5,468,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,129081,470,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137182.5,472,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,123650,474,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,126221,476,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,478,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,480,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,135581,482,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125503,484,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140219,486,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125503,488,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,490,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137182.5,492,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,131826.5,494,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,496,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,123650,498,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,129278.5,500,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,131826.5,502,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,131327,504,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,131826.5,506,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,508,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,123650,510,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,129081,512,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,125503,514,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,129954.5,516,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,127458.5,518,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137182.5,520,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137182.5,522,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,126221,524,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,128446.5,526,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,128696,528,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,128446.5,530,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,133875,532,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,534,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,536,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,538,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,540,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,141019,542,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,544,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,142205,546,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,141019,548,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,550,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,552,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140634.5,554,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140634.5,556,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140634.5,558,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140634.5,560,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,562,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,564,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,566,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,568,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140083,570,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140000,572,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140931,574,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140931,576,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,126050,578,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,142000,580,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,144000,582,0
